,id,overall_rating,recommended_to_a_friend,food,service,ambiance,noise_level,dining_style,cuisines,price_range,hours_of_operation
0,144703,4,83,4.1,3.7,3.9,Moderate,Casual Dining,Seafood,$50 and over,Brunch: Saturday - Sunday: 12:00pm - 4:00pmLunch: Monday - Sunday: 12:00pm -4:00pmDinner: Monday - Sunday: 5:00pm - 12:00am
1,115345,4.3,86,4.4,3.8,4.1,Moderate,Casual Elegant,Mediterranean,$30 and under,Monday-Friday: 11am-2amSaturday  4pm-2amSunday 5pm-2am 
2,115729,4.3,93,4.2,4.2,4.3,Moderate,Casual Elegant,American Brewery Greek,$31 to $50,Lunch: Mon-Fri 11:30pm - 4:00pmDinner: Sun-Wed: 4:00pm - 10:00pm Thurs-Sat: 4:00pm-11:00pm  Brunch Sat & Sun 11:00am - 4:00pm 
3,345,4.3,91,4.2,4.2,4.3,Moderate,Fine Dining,Italian,$31 to $50,Lunch: Tuesday - Saturday: 12:00pm - 3:30pm; Dinner: Monday - Saturday: 6:00pm - 11:30pm Sunday: 5:30pm - 10:30pm     
4,103945,4.7,92,4.7,4.7,4.4,Moderate,Casual Dining,Asian Chinese Thai,$31 to $50,Monday - Saturday: 12:00pm - 4:00pmMonday - Saturday: 5:30pm - 10:30pmSunday: 5:00pm - 9:30pm
5,88648,4.4,83,4.3,3.9,4.3,Moderate,Casual Elegant,American Italian,$31 to $50,Monday-Sunday: Breakfast 7:00 am-11:30 amLunch and Dinner 11:30am- 2:00am
6,20263,,,,,,,,,,
7,101443,4.3,84,4,4.1,4.6,Moderate,Casual Dining,Continental European,$30 and under,EVENINGSunday-Thursday  5PM - 11PM Friday & Saturday   5PM - 1AM Dinner Service is available 7 days a week from 5:30PM -  11PMBRUNCHSaturday &  Sunday11:30am - 4:00pm
8,92776,4.5,94,4.4,4.4,4.7,Quiet,Casual Elegant,Korean Barbecue Vegetarian,$31 to $50,RESTAURANT----------------------------------------------------------------LUNCH :Monday - Friday: 12:00 PM - 2:00 PMDINNER : Monday - Sunday 5:00PM - 10:00 PMSATURDAY & SUNDAY DINNER ONLY----------------------------------------------------------------BAR & LOUNGE - SKY ROOM----------------------------------------------------------------LUNCH: Monday - Friday: 12:00 PM - 2:00 PMDINNER: Monday - Sunday 5:00PM - 12:00 PMSATURDAY & SUNDAY DINNER ONLY ----------------------------------------------------------------
9,96586,,,,,,,,,,
10,102115,4.4,93,4.3,4.2,4.2,Moderate,Casual Elegant,Italian Pizzeria Contemporary Italian,$30 and under, LUNCH - 11:30am - 4pmBRUNCH - Saturday & Sunday 11:30am - 4pmDINNER - Monday-  Saturday 4pm - 10pm Sunday 4pm - 9:30pmDAILY - 11:30am - 8pm
11,52453,3.6,66,3.8,3.7,3.6,Moderate,Casual Elegant,Steakhouse American,$31 to $50,Breakfast: Monday - Friday: 7:00am - 11:00am; Lunch: Monday - Friday: 11:30am - 4:00pm; Dinner: Monday - Friday: 4:30pm - 11:00pm
12,108289,4,81,4,4.2,4.1,Quiet,Casual Dining,French Wine Bar,$30 and under,Brunch: Saturday - Sunday: 11:00am - 4:30pm;Lunch: Monday - Friday: 11:00am - 4:30pm;Dinner: Sunday - Saturday: 4:30pm - 11:00pm
13,25384,4.2,84,4.3,4.4,4.1,Moderate,Casual Dining,Indian,$31 to $50,Lunch: Daily: 11:30am - 3:00pm; Dinner: Sunday - Thursday: 5:00pm - 10:30pm Friday - Saturday: 5:00pm - 11:00pm
14,103219,,,,,,,,,,
15,7298,,,,,,,,,,
16,103831,4,76,3.6,3.8,3.7,Moderate,Casual Dining,American Bar / Lounge / Bottle Service,$30 and under,Daily: 12:00pm - 4:00am
17,92527,4.3,87,4.2,4.3,4,Moderate,Casual Elegant,American Seafood,$31 to $50,Lunch: 11:30AM-4PM Monday - Friday Brunch: 10:00AM-4PM Saturday - SundayDinner: 4PM-10PM Monday - SundayBar: Open Late
18,78730,4.6,91,4.5,4.6,4.6,Moderate,Casual Elegant,Contemporary American,$31 to $50,   Dinner is served Sunday 5:30pm - 10:00pm; Monday through Thursday: 5:30pm - 10:30pm; Friday - Saturday: 5:30pm - 11:00pm.Lunch is served daily in our dining rooms and the Elephant Bar from 12:00pm - 2:30pm. Breakfast is served daily from 7:00am - 10:00am.Brunch is served on Saturdays and Sundays from 11:00am - 2:30pm.The Elephant Bar opens daily at 12 noon. The Library lounge opens for lighter fare and cocktails at 8:00am during the week and at 10:00am on weekends. The NoMad Bar at 10 W28th Street opens at 5:00pm daily. The Elephant Bar Library and NoMad Bar are available on a first-come first-serve basis. After 4:00pm the Library becomes a space reserved for guests of The NoMad Hotel.                                                                        
19,2654,4.5,82,4.4,4.4,4.4,Moderate,Casual Elegant,Steak Seafood American,$31 to $50,Brunch:Sunday 11:00am - 3:00pmLunch: Monday - Saturday 11:30am - 4:00pm Dinner: Sunday & Monday   4:00pm - 10:00pmTuesday - Saturday 4:00pm - 11:00pm
20,113746,4.3,81,4.2,4.3,3.9,Moderate,Casual Dining,Basque Spanish Tapas / Small Plates,$31 to $50,Sunday- 5:30-10:30Monday-  Thursday: 5:30 pm - 11:00 pmFriday - Saturday: 5:30 pm - 11:30 am
21,48970,4,79,4.1,3.9,3.8,Moderate,Casual Dining,Burgers Bar / Lounge / Bottle Service American,$30 and under,Breakfast: Monday - Friday: 6:30am - 10:00am Saturday - Sunday: 7:30am - 10:30amLunch Daily: 11:30am - 2:30pm; Dinner: Sunday-Wednesday: 5:30pm - 11:00pmThursday - Saturday: 5:30pm - 12:00am
22,126826,4.2,90,4.2,4.2,4.2,Moderate,Casual Elegant,French International American,$31 to $50,Brunch: Saturday - Sunday: 11:00am -4:00pmLunch: Monday - Sunday: 11:30am - 4:00pmDinner: Monday - Sunday: 11:30am - 12:00am
23,38500,4.3,95,4.4,4.3,4.1,Moderate,Casual Dining,Contemporary American,$30 and under,Breakfast: Everyday: 7:00am - 11:00am; Brunch: Saturday & Sunday: 11:00am - 3:00pm; Lunch: Monday - Friday: 11:30am - 3:00pm; Dinner: Everyday: 3:00pm - 11:30pm
24,34375,4.5,90,4.3,4.6,4.2,Moderate,,,,
25,139675,,,,,,,,,,
26,58909,4.5,88,4.4,4.2,4.4,Moderate,Casual Dining,Italian,$30 and under,Dinner: Sunday Tuesday - Thursday: 6:00pm - 12:00pm Friday - Saturday: 6:00pm - 2:00am
27,148687,4.5,88,4.4,4.3,4.3,Moderate,Casual Elegant,Tapas / Small Plates Spanish Mediterranean,$31 to $50,Dinner: Monday - Thursday: 6:00pm - 11:00pmFriday - Saturday: 6:00pm - 12:00amSunday: 5:30pm - 10:00pm
28,103108,,,,,,,,,,
29,100177,,,,,,,,,,
30,20275,4.2,92,4.3,4,3.9,Moderate,,,,
31,19144,4.4,95,4.5,4.2,4.4,Moderate,Casual Dining,Italian,$31 to $50,Dinner: Monday - Sunday: 5:00pm - 11:00pm  Brunch: Saturday - Sunday: 12:00pm - 4:00pm Friday and Saturday dinner reservations will be honored only if confirmed by phone on the day of the reservation. 
32,147496,4.3,92,4.1,3.8,4.4,Moderate,,,,
33,131911,,,,,,,,,,
34,88894,4.1,92,4,3.9,4.4,Moderate,,,,
35,85645,4.8,96,4.7,4.7,4.4,Quiet,Casual Elegant,Japanese,$31 to $50,Dinner: Monday - Saturday: 6:00pm - 12:00am
36,112546,4.3,70,4.1,4.2,4.1,Moderate,Casual Dining,Regional Mexican,$31 to $50,Lunch: Monday - Friday: 12:00pm - 4:00pm Dinner: Monday - Sunday: 4:00pm - 12:00am Brunch: Saturday & Sunday: 12:00pm - 4:00pmLate Night Tacos Friday and Saturday 12am - 2 am
37,110206,4.2,80,3.9,3.9,4.1,Moderate,,,,
38,85072,3.1,67,3.1,3.4,3.3,Energetic,,,,
39,81409,4.6,87,4.5,4.2,4.4,Moderate,Casual Dining,Greek,$30 and under,Monday - Thursday: 11:00am - 11:00pmFriday Saturday & Sunday: 11:00am - 12:30am
40,77635,4.6,100,4.4,4.3,4.4,Moderate,Casual Dining,American,$31 to $50,BREAKFAST- Monday-Friday- 8am-11am LUNCH: Monday-Friday 11:00am-3:30pm   LATE MENU- Daily- 3:30-5:00pm BRUNCH: Saturday- Sunday 9am-3:30pmDINNER: Sunday-Wednesday- 5:00pm-11pm-  *late dinner menu 11pm-12am                  Thursday- Saturday 5:30pm-12:00am - *late dinner menu 12am-1amBAR:  Sunday-Wednesday 11:30am-12am            Thursday- Saturday 11:30am- 1am. 
41,104383,4,75,3.8,3.9,3.7,Moderate,Casual Dining,Seafood Contemporary American Comfort Food,$30 and under,Lunch: Tuesday-Friday 12:00pm-5:00pm Dinner: Monday-Sunday 6:00pm-11:00pmBrunch: Saturday & Sunday 11:00am-5pmHappy Hour: Monday - $1 Oysters 6pm-CloseTuesday-Friday 4-7pm ($1 Oysters $5 Beers $8 Wine)
42,52456,4.6,92,4.5,4.4,4.6,Moderate,Casual Elegant,Tapas / Small Plates Contemporary American,$31 to $50,Dinner: Daily: 5:00pm - 1:00amBrunch: Saturday & Sunday 11:30am-3:00pm
43,5092,3.7,76,3.8,3.5,3.8,Moderate,,,,
44,112591,4,94,4,3.6,3.9,Moderate,,,,
45,116485,4,84,4.1,3.7,4,Moderate,,,,
46,72649,4.5,87,4.5,4.3,4.5,Moderate,Casual Dining,Italian,$31 to $50,Lunch - Monday - Friday : 11:30 a.m. - 4:30 p.m.Dinner - Monday - Saturday: 5 p.m. - 1 a.m.Brunch - Saturday & Sunday: 11:30 a.m. - 4 p.m.Dinner on Sunday: 5 p.m . - 12 a.m.
47,109813,4.4,86,4.4,4.3,4.1,Moderate,Casual Dining,Italian,$30 and under,Brunch: Saturday & Sunday: 11:00am - 4:00pmDinner: Sunday - Thursday: 5:00pm - 10:30pmFriday - Saturday: 5:00pm - 12:00am
48,55651,4.2,90,4.2,3.9,4.2,Moderate,,,,
49,91993,4.4,89,4.4,4.1,3.7,Moderate,Casual Elegant,Indian Southeast Asian,$30 and under,Daily: 12:00pm - 12:00am
50,104296,4.4,84,4.2,4.3,4.2,Moderate,Casual Elegant,Korean Asian Gastro Pub,$31 to $50,Monday-Wednesday: 11:30am-12:00amThursday-Friday: 11:30am-1:00amSaturday: 10:30am-1:00amSunday:10:30am-11:00pmLunch: 11:30am-4:00pm (MONDAY-FRIDAY)Brunch:10:30am-4:00pm (SATURDAY-SUNDAY)Dinner: 5:00pm-11:00pm (Monday-Saturday)5:00pm-10:00pm (Sunday)Grumpy Hour: 11:30am-4:00pmHappy Hour: 4:00pm-7:00pm
51,113683,4.7,98,4.7,4.2,4.3,Moderate,Casual Dining,Italian Pizzeria,$30 and under,BE SOCIALtwitter instagram facebook foursquare   HOURSMonday-Thursday: 4:00pm-2:00amFriday-Saturday: 11:00am-4:00amSunday: 11:00-2:00am
52,152104,3.9,80,4,3.9,3.9,Moderate,,,,
53,22558,4.5,85,4.4,4.2,4.4,Moderate,Casual Elegant,Vietnamese French,$50 and over,Dinner: Sunday - Wednesday: 5:30pm - 11:30pm Thursday - Saturday: 5:30pm - 12:00am
54,144640,4.4,90,4.2,4.2,4.2,Moderate,,,,
55,141115,4.7,97,4.8,4.8,4.3,Moderate,Casual Elegant,Japanese Fusion / Eclectic,$31 to $50,Lunch: Monday - Friday: 11:30am - 3:00pmDinner: Sunday - Wednesday: 5:00pm - 10:30pmThursday-Saturday: 5:00pm - 11:30pm Note: Saturday Dinner Menu only. Open at 12:00pm
